material,weight,transport,true_eco_score
Plastic,0.3,Air,F
Plastic,1.0,Truck,C
Plastic,3.2,Ship,C
Plastic,0.1,Truck,D
Plastic,0.8,Air,F
Plastic,2.0,Ship,D
Plastic,5.5,Truck,E
Plastic,0.05,Air,F
Metal,0.4,Truck,C
Metal,2.5,Ship,B
Metal,0.7,Truck,C
Metal,1.2,Air,D
Metal,0.3,Truck,C
Metal,5.0,Ship,B
Metal,7.5,Truck,D
Wood,1.1,Truck,B
Wood,0.2,Ship,A
Wood,0.4,Truck,A
Wood,2.0,Air,B
Wood,0.7,Ship,A
Wood,3.3,Truck,B
Wood,0.05,Ship,A+
Cardboard,0.1,Truck,A+
Cardboard,0.2,Ship,A
Cardboard,0.3,Truck,A
Cardboard,0.4,Ship,A
Cardboard,0.5,Truck,B
Glass,0.6,Ship,C
Glass,1.2,Truck,D
Glass,0.9,Ship,C
Glass,2.0,Air,E
Glass,0.7,Truck,C
Other,0.8,Ship,E
Other,0.4,Truck,D
Other,1.5,Air,E
Other,0.3,Ship,F
Other,2.0,Truck,E
Other,0.05,Air,F
