material,weight,transport,true_eco_score
Glass,1.13,Land,D
Plastic,0.34,Land,B
Bamboo,0.42,Ship,D
Bamboo,0.74,Ship,D
Steel,0.95,Ship,F
Steel,0.54,Land,A
Glass,1.0,Ship,A+
Glass,0.72,Ship,F
Glass,0.85,Ship,A+
Bamboo,0.49,Ship,C
Steel,0.71,Air,D
Steel,0.24,Ship,C
Bamboo,0.39,Land,A
Bamboo,1.49,Land,A
Plastic,1.19,Air,C
Bamboo,0.6,Ship,F
Bamboo,0.51,Air,C
Plastic,1.02,Air,C
Glass,0.71,Land,A
Glass,0.27,Ship,D
Steel,0.97,Ship,F
Bamboo,1.3,Ship,F
Glass,1.03,Ship,D
Steel,0.5,Air,C
Bamboo,0.23,Land,B
Glass,0.91,Air,F
Plastic,0.9,Ship,A
Steel,0.84,Air,B
Steel,0.48,Land,D
Steel,0.32,Land,D
Plastic,1.0,Air,C
Steel,0.48,Land,A
Glass,0.49,Ship,A
Plastic,0.67,Land,D
Plastic,0.54,Land,A
Bamboo,1.1,Air,F
Glass,1.05,Land,F
Plastic,1.02,Ship,A
Glass,1.0,Air,D
Bamboo,1.04,Land,D
Bamboo,1.41,Ship,D
Plastic,1.01,Land,A
Bamboo,1.3,Air,C
Steel,1.29,Land,A
Glass,1.38,Land,C
Bamboo,0.38,Ship,A
Glass,1.04,Air,A+
Plastic,0.29,Ship,A
Bamboo,1.32,Air,C
Plastic,1.18,Ship,B
Glass,1.42,Land,C
Bamboo,1.05,Land,D
Glass,0.72,Ship,C
Steel,1.24,Land,B
Bamboo,0.5,Land,D
Steel,0.72,Land,A
Bamboo,1.03,Land,F
Bamboo,0.49,Land,C
Plastic,0.94,Air,F
Bamboo,0.95,Ship,F
Bamboo,0.82,Air,B
Steel,0.66,Land,F
Bamboo,0.93,Land,F
Bamboo,1.41,Air,F
Steel,0.38,Ship,C
Bamboo,1.33,Land,C
Plastic,1.06,Air,C
Steel,1.07,Air,F
Steel,0.91,Air,C
Bamboo,1.1,Air,A
Steel,1.21,Ship,C
Steel,0.57,Land,D
Glass,0.68,Air,B
Plastic,1.43,Air,F
Bamboo,1.46,Land,C
Bamboo,1.23,Ship,C
Bamboo,0.95,Air,C
Plastic,0.24,Ship,C
Plastic,0.85,Air,A+
Plastic,0.6,Ship,D
Bamboo,0.47,Land,D
Glass,0.96,Ship,D
Steel,1.5,Ship,B
Steel,1.11,Air,B
Glass,1.1,Air,A
Bamboo,0.67,Land,F
Bamboo,0.51,Land,D
